id: 51730bbd-9bce-4d28-ae30-580e2ddd1be8, lat: 50.43483821, long:11.96975958, 
id: 6890001c-57d4-4289-ab95-09a15a4cc775, lat: 52.90932574, long:17.84508792, 
id: 25de3804-ca98-463b-88e0-17d3ae8418dc, lat: 51.37904454, long:16.02052927, 
id: bbccc9e8-5cee-439a-a00c-0088b88bc327, lat: 53.11368755, long:14.03961756, 
id: 546d899b-ca18-400a-b342-59b2426aad41, lat: 50.4549391, long:10.12018809, 
id: bd6754a4-07b7-4de6-9471-5598bc24d5e2, lat: 55.29794181, long:11.21015653, 
id: cbbd17c7-738b-4906-8435-0a435259b0b3, lat: 51.07835287, long:17.03787608, 
id: b6cc3683-6606-4789-84db-b4563182e7aa, lat: 51.17666596, long:11.54501506, 
id: 4de626c9-d9ea-464a-a466-93db8367330e, lat: 55.06821683, long:14.89255682, 
id: 28353047-7789-4d0c-babb-adab12a4b082, lat: 51.2151044, long:10.24302328, 
id: d5c05bd3-76d4-4c3c-9985-deb82751c611, lat: 52.62407672, long:14.08227028, 
id: b7e7100c-5054-4ac2-bd61-5c3825c33ed9, lat: 50.0111839, long:10.5824478, 
id: e6ee6861, lat: 55.08068312, long:12.86196247, 
id: 2c00118e-7366-4c59-80b2-96a928a87a15, lat: 53.2343842, long:12.22147911, 
id: 8a01cea8-b623-41ed-a6bb-977b113e6961, lat: 52.83616918, long:14.98736934, 
id: 846ac8ca-a4a1-42cd-bbe8-3450ec090ee8, lat: 49.91073719, long:14.76316796, 
id: 87e7954e-2b6e-4572-acc7-81819e639ddd, lat: 50.92810899, long:16.00613196, 
id: 2cce11c3-6979-42a5-b501-ace4d5e598ec, lat: 52.6907415, long:14.31280182, 
id: e24d3cd8-69a4-4095-9de1-3ad27437d288, lat: 50.06492392, long:12.31323969, 
id: d7440558-4140-4eb5-ab05-295614c8d1a3, lat: 54.93658101, long:13.43174345, 
id: 306548a9-0d36-41e1-b667-a48196590ac5, lat: 50.68387773, long:8.63640627, 
id: 2dded423-8dbb-4e67-b25d-aa359b9c1a2a, lat: 54.87145298, long:12.51363796, 
id: e187aea0-95a6-41a7-b75c-3956a48c558d, lat: 50.41642815, long:x.26537009, 
id: 3e242b9d-0d2d-4d0b-a001-8cadebbc6da2, lat: 49.61790927, long:13.17178599, 
id: 71b01614-0e38-44a8-8713-b296ca942670, lat: 53.27620379, long:18.19087354, 
id: 4403c7bd-7786-48e3-abc7-2846eed5ca95, lat: 50.79438882, long:16.15860958, 
id: 5e56c557-40c9-47b6-94ba-691112d400a9, lat: 49.62210034, long:16.35547071, 
id: 953d7eac-3d60-4ce2-9044-db8152b6581b, lat: 54.95435379, long:11.97374486, 
id: dda4c8e5-82e4-4634-b5d1-d799b046ec09, lat: 54.82904664, long:17.97530849, 
id: 8744b734-377d-4428-930d-a39caa956570, lat: 53.86268564, long:18.63571011, 
id: 9c332125-d7c8-4cb5-8319-db034b463331, lat: 52.55933161, long:11.7961662, 
id: aaeadb2a-a199-4a45-8c8b-32261187994b, lat: 50.09274415, long:13.63857364, 
id: cd14ca5d-6e4c-4364-87e3-1075ece4c78a, lat: 50.80999005, long:9.30528082, 
id: c14046c4-222b-4d1c-9aa6-85b2e768235c, lat: 51.0826719, long:18.48378555, 
id: 8c6199db-5c6a-4098-81ca-4c6aac57b48c, lat: 49.70394037, long:12.35566019, 
id: 68957ccd-289b-4533-b187-390e9cd91e91, lat: 49.46721246, long:12.58983768, 
id: 2543ab82-260e-4d48-87e6-b2e414d43ba6, lat: 54.39383068, long:14.29155892, 
id: d4b44cac-6861-4875-a53c-34a5b131008d, lat: 51.57284208, long:8.71496869, 
id: 282a7b84-85e0-4b95-b3e6-7053559518c2, lat: 50.74997308, long:12.00743874, 
id: 72259d1d-0036-4a4b-bcb0-578c6edb3120, lat: 49.86055644, long:12.20650668, 
id: 0255d218-c491-4d85-9eb9-c60d1d45abd7, lat: 54.78349934, long:14.06482028, 
id: c35ee63c-3650-418c-803a-403ddc627057, lat: 55.32465863, long:12.62857947, 
id: 8a5b33e7-8274-479e-8873-447229456175, lat: 52.66422297, long:9.21069713, 
